schemaname,tablename
searchdm,tblsearchpropertytypebridge
searchdm,tblsearchgisbridge
searchdm,tblsearchpropertyfeaturebridge
searchDM,tblSearchTypeDim
searchDM,tblSearchPropertyFeatureDim
searchDM,tblSearchPropertyDeedDim
searchDM,tblSearchOtherFeatureDim
searchDM,tblSearchGeoDim
searchDM,tblSearchEventFact
searchDM,tblSearchDim
searchDM,tblSearchAreaTypeDim
searchDM,tblRealtorSearchDim
searchDM,tblPropertyTypeDim
searchDM,tblPriceBucketDim
searchDM,tblCriteriaTimespanDim
searchDM,tblBedSearchCriteriaDim
searchDM,tblBathSearchCriteriaDim
searchDM,SearchGISBridgeMap
searchDM,GISLookupRefreshLog